abaqus	Fluid dynamics
amber	Computational chemistry
amdblis	AMD
amdfftw	AMD
amdlibflame	AMD
amdlibm	AMD
amdscalapack	AMD
anaconda	Tools/Utilities
ansysem	Physics
ansys	Fluid dynamics
aocl	AMD
arpack-ng	Libraries
aws-cli	Tools/Utilities
bamtools	Bioinformatics
bbftp	Tools/Utilities
beagle	Bioinformatics
beast2	Bioinformatics
bismark	Bioinformatics
blast-plus	Bioinformatics
blis	Libraries
boost	Libraries
bowtie2	Bioinformatics
bwa	Bioinformatics
bzip2	Tools/Utilities
caffe	ML toolkit
cdo	Climate
cmake	Tools/Utilities
cntk	ML toolkit
comsol	Mathematical/Statistics
cp2k	Computational chemistry
cplex	Climate
cuda	NVIDIA
cudnn	NVIDIA
cue-login-env	System
cufflinks	Bioinformatics
curl	Tools/Utilities
cutadapt	Bioinformatics
eigen	Libraries
emacs	Tools/Utilities
envi	Geospatial tools
fastqc	Bioinformatics
fasttree	Bioinformatics
fastx-toolkit	Bioinformatics
ffmpeg	Audio/Visualization
fftw	Libraries
gamess	Computational chemistry
gams	Mathematical/Statistics
gatk	Bioinformatics
gaussian09	Computational chemistry
gaussian16	Computational chemistry
gaussview	Computational chemistry
gdal	Geospatial tools
gdb	Tools/Utilities
geos	Geospatial tools
gmp	Libraries
gmt	Audio/Visualization
gnuplot	Audio/Visualization
gpaw	Tools/Utilities
grace	Tools/Utilities
grads	Geospatial tools
gromacs	Computational chemistry
gsl	Libraries
gurobi	Mathematical/Statistics
gym	ML toolkit
hadoop	Tools/Utilities
hdf5	Libraries
hdf	Libraries
hpctoolkit	Tools/Utilities
hspice	Tools/Utilities
htseq	Bioinformatics
hwloc	Tools/Utilities
hyper-shell	Workflow automation
hypre	Mathematical/Statistics
idl	Programming languages
imagemagick	Tools/Utilities
intel-mkl	Libraries
intel-oneapi-mkl	Libraries
intel-oneapi-tbb	Libraries
julia	Programming languages
jupyterhub	Tools/Utilities
jupyter	Tools/Utilities
keras	ML toolkit
lammps	Computational chemistry
launcher	Tools/Utilities
learning	ML toolkit
libfabric	Libraries
libflame	Libraries
libiconv	Libraries
libmesh	Libraries
libszip	Libraries
libtiff	Libraries
libv8	Libraries
libx11	Libraries
libxml2	Libraries
libxp	Libraries
libxscrnsaver	Libraries
libxslt	Libraries
mathematica	Mathematical/Statistics
matlab	Mathematical/Statistics
meep	Mathematical/Statistics
mesa-glu	Libraries
modtree	System
monitor	Tools/Utilities
motif	Tools/Utilities
mpc	Tools/Utilities
mpfr	Libraries
mrbayes	Bioinformatics
mxnet	NVIDIA
namd	Computational chemistry
nccl	NVIDIA
ncl	Climate
nco	ML toolkit
ncview	Tools/Utilities
netcdf-c	Libraries
netcdf-cxx4	Libraries
netcdf-fortran	Libraries
netcdf	Libraries
netlib-lapack	Libraries
nextflow	Workflow automation
nf-core	Bioinformatics
numactl	Tools/Utilities
nvhpc	NVIDIA
nwchem	Computational chemistry
octave	Mathematical/Statistics
openblas	Libraries
opencv	ML toolkit
openfoam	Fluid dynamics
openjdk	Tools/Utilities
panoply	Tools/Utilities
papi	Tools/Utilities
parafly	Tools/Utilities
parallel-netcdf	Libraries
parallel	Workflow automation
paraview	Audio/Visualization
perl-bioperl	Bioinformatics
petsc	Libraries
picard	Bioinformatics
proj	Geospatial tools
protobuf	Tools/Utilities
py-mpi4py	ML toolkit
python	ML toolkit
pytorch	ML toolkit
qemu	Tools/Utilities
qt	Tools/Utilities
quantumatk	Material science
quantum-espresso	Computational chemistry
rocm	Libraries
r	Mathematical/Statistics
rstudio	Mathematical/Statistics
samtools	Bioinformatics
sas	Mathematical/Statistics
sentaurus	Electrical engineering
spark	ML toolkit
spss	Mathematical/Statistics
sqlite	Libraries
sratoolkit	Bioinformatics
stata-mp	Mathematical/Statistics
stata	Mathematical/Statistics
subversion	Tools/Utilities
swig	Libraries
tcl	Programming languages
tecplot	Audio/Visualization
tensorflow	ML toolkit
texinfo	Tools/Utilities
texlive	Tools/Utilities
tflearn	ML toolkit
theano	ML toolkit
thermocalc	Material science
tk	Tools/Utilities
tophat	Bioinformatics
totalview	Tools/Utilities
trimmomatic	Bioinformatics
ucx	Libraries
udunits2	Libraries
udunits	Libraries
valgrind	Tools/Utilities
vasp	Computational chemistry
vcftools	Bioinformatics
vim	Text Editors
visit	Audio/Visualization
vlc	Audio/Visualization
vmd	Computational chemistry
vscode	Text Editors
vtk	Audio/Visualization
wannier90	Computational chemistry
xalt	System
xcb-util-image	Libraries
xcb-util-keysyms	Libraries
xcb-util-renderutil	Libraries
xcb-util-wm	Libraries
zlib	Libraries
zstd	Libraries
